subtopic,ac_id,doc_behavior,benchmark_test,benchmark_assertion,generated_test,alignment_verdict,rq1_covered,rq2_aligned
1.5 Muxed Accounts,AC-01.1,MuxedAccount constructor returns a non-null object,sdk-usage: Muxed Accounts,(implicit — object used without null-check),TS-01.1 — isNotNull,EXPANDED,YES,IMPLICIT
1.5 Muxed Accounts,AC-01.2,accountId returns an M-prefixed string,sdk-usage: Muxed Accounts,(not tested),TS-01.2 — startsWith('M'),EXPANDED,YES,N/A
1.5 Muxed Accounts,AC-01.3,.id returns the exact BigInt passed to constructor,sdk-usage: Muxed Accounts,"expect(muxedAccount.id, BigInt.from(123456789))",TS-01.3 — equals(BigInt.from(123456789)),ALIGNED,YES,YES
1.5 Muxed Accounts,AC-01.4,.ed25519AccountId returns the base G-address,sdk-usage: Muxed Accounts,"expect(muxedAccount.ed25519AccountId, account1.accountId)",TS-01.4 — equals(baseAddress),ALIGNED,YES,YES
1.5 Muxed Accounts,AC-02.1,fromAccountId() returns non-null for valid M-address,sdk-usage: Muxed Accounts,"expect(parsed, isNotNull)",TS-02.1 — isNotNull,ALIGNED,YES,YES
1.5 Muxed Accounts,AC-02.2,Parsed .ed25519AccountId equals original G-address,sdk-usage: Muxed Accounts,"expect(parsed!.ed25519AccountId, account1.accountId)",TS-02.2 — equals(baseAddress),ALIGNED,YES,YES
1.5 Muxed Accounts,AC-02.3,Parsed .id equals original BigInt,sdk-usage: Muxed Accounts,"expect(parsed.id, BigInt.from(123456789))",TS-02.3 — equals(BigInt.from(123456789)),ALIGNED,YES,YES
1.5 Muxed Accounts,AC-02.4,Parsed .accountId equals the input M-address,sdk-usage: Muxed Accounts,(not tested),TS-02.4 — equals(mAddress),EXPANDED,YES,N/A
1.5 Muxed Accounts,AC-03.1 + AC-03.2,PaymentOperationBuilder accepts M-address and build() returns non-null,sdk-usage: Muxed Accounts,(not tested — benchmark omits payment builder),TS-03.1 — isNotNull,EXPANDED,YES,N/A
1.5 Muxed Accounts,BENCHMARK-ONLY,StrKey quick example — keypair encoding/decoding,sep-23: Quick example - keypair,(full test — not in sdk-usage.md scope),(not generated — out of source scope),BENCHMARK-ONLY,N/A,N/A
1.5 Muxed Accounts,BENCHMARK-ONLY,StrKey account IDs and secret seeds encoding,sep-23: Account IDs and secret seeds,(full test — not in sdk-usage.md scope),(not generated — out of source scope),BENCHMARK-ONLY,N/A,N/A
1.5 Muxed Accounts,BENCHMARK-ONLY,StrKey contract IDs encoding,sep-23: Contract IDs,(full test — not in sdk-usage.md scope),(not generated — out of source scope),BENCHMARK-ONLY,N/A,N/A
1.5 Muxed Accounts,BENCHMARK-ONLY,Creating muxed accounts (SEP-23 encoding detail),sep-23: Creating muxed accounts,(full test — not in sdk-usage.md scope),(not generated — out of source scope),BENCHMARK-ONLY,N/A,N/A
1.5 Muxed Accounts,BENCHMARK-ONLY,Extracting muxed account components (SEP-23),sep-23: Extracting muxed account components,(full test — not in sdk-usage.md scope),(not generated — out of source scope),BENCHMARK-ONLY,N/A,N/A
1.5 Muxed Accounts,BENCHMARK-ONLY,Low-level muxed account encoding (SEP-23),sep-23: Low-level muxed account encoding,(full test — not in sdk-usage.md scope),(not generated — out of source scope),BENCHMARK-ONLY,N/A,N/A
1.5 Muxed Accounts,BENCHMARK-ONLY,Pre-auth TX and SHA-256 hashes (StrKey),sep-23: Pre-auth TX and SHA-256 hashes,(full test — not in sdk-usage.md scope),(not generated — out of source scope),BENCHMARK-ONLY,N/A,N/A
1.5 Muxed Accounts,BENCHMARK-ONLY,Signed payloads (StrKey),sep-23: Signed payloads,(full test — not in sdk-usage.md scope),(not generated — out of source scope),BENCHMARK-ONLY,N/A,N/A
1.5 Muxed Accounts,BENCHMARK-ONLY,StrKey validation methods,sep-23: StrKey validation methods,(full test — not in sdk-usage.md scope),(not generated — out of source scope),BENCHMARK-ONLY,N/A,N/A
1.5 Muxed Accounts,BENCHMARK-ONLY,StrKey error handling — validation,sep-23: Error handling - validation,(full test — not in sdk-usage.md scope),(not generated — out of source scope),BENCHMARK-ONLY,N/A,N/A
1.5 Muxed Accounts,BENCHMARK-ONLY,Liquidity pool and claimable balance IDs (StrKey),sep-23: Liquidity pool and claimable balance IDs,(full test — not in sdk-usage.md scope),(not generated — out of source scope),BENCHMARK-ONLY,N/A,N/A
